base_models,datasets,distance_lambdas,batch_sizes,embedding_sizes,validation_sizes,epochs,batchnorm,dropout,optimizers,learning_rates,test_accuracy,duration
DF,data,L1,128,512,0.1,50,False,True,Adam,6e-05,0.7873831775700935,353.0045301914215
DF,data,L1,128,512,0.2,50,False,True,Adam,6e-05,0.764018691588785,352.2666451931
DF,data,L1,128,512,0.1,50,False,True,Adagrad,0.01,0.7593457943925234,227.89831233024597
DF,data,L1,128,512,0.1,50,False,True,Adagrad,0.001,0.7850467289719626,251.8371720314026
DF,data,L1,128,512,0.2,50,False,True,Adagrad,0.01,0.7827102803738317,360.7809097766876
DF,data,L1,128,512,0.2,50,False,True,Adagrad,0.001,0.780373831775701,374.8910324573517
DF,data,L1,128,512,0.1,50,False,True,RMSprop,0.1,0.4883177570093458,49.58918881416321
DF,data,L1,128,512,0.1,50,False,True,RMSprop,0.01,0.4883177570093458,33.94333863258362
DF,data,L1,128,512,0.2,50,False,True,RMSprop,0.1,0.4883177570093458,93.79721570014954
DF,data,L1,128,512,0.2,50,False,True,RMSprop,0.01,0.5116822429906542,68.10754656791687
DF,data,L1,128,512,0.1,50,False,True,SGD,0.1,0.8200934579439252,283.69208002090454
DF,data,L1,128,512,0.1,50,False,True,SGD,0.01,0.8177570093457944,250.837087392807
DF,data,L1,128,512,0.2,50,False,True,SGD,0.1,0.8154205607476636,92.56071996688843
DF,data,L1,128,512,0.2,50,False,True,SGD,0.01,0.7710280373831776,267.00821709632874
DF,data,L2,128,512,0.1,50,False,True,Adam,6e-05,0.5116822429906542,423.1169157028198
DF,data,L2,128,512,0.2,50,False,True,Adam,6e-05,0.5116822429906542,393.24288630485535
DF,data,L2,128,512,0.1,50,False,True,Adagrad,0.01,0.7733644859813084,420.92712664604187
DF,data,L2,128,512,0.1,50,False,True,Adagrad,0.001,0.5116822429906542,34.41503119468689
DF,data,L2,128,512,0.2,50,False,True,Adagrad,0.01,0.5116822429906542,31.846328735351562
DF,data,L2,128,512,0.2,50,False,True,Adagrad,0.001,0.4883177570093458,399.55960178375244
DF,data,L2,128,512,0.1,50,False,True,RMSprop,0.1,0.5116822429906542,149.66301131248474
DF,data,L2,128,512,0.1,50,False,True,RMSprop,0.01,0.5116822429906542,71.57532405853271
DF,data,L2,128,512,0.2,50,False,True,RMSprop,0.1,0.4883177570093458,324.42286705970764
DF,data,L2,128,512,0.2,50,False,True,RMSprop,0.01,0.5116822429906542,66.77136135101318
DF,data,L2,128,512,0.1,50,False,True,SGD,0.1,0.5116822429906542,160.6885986328125
DF,data,L2,128,512,0.1,50,False,True,SGD,0.01,0.5116822429906542,36.46411347389221
DF,data,L2,128,512,0.2,50,False,True,SGD,0.1,0.7406542056074766,202.41830372810364
DF,data,L2,128,512,0.2,50,False,True,SGD,0.01,0.5116822429906542,412.6743977069855
